ID товара;наименование;описание;цена;орг %;ccылка на товар на сайте поставщика;ссылки на Фото;размер
;001 Шапка;;17.0;15;;https://optom-brend.ru/image/data/transfer/Tovar/158279449912.jpg https://optom-brend.ru/image/data/transfer/Tovar/158279449923.jpg https://optom-brend.ru/image/data/3003nalichie/5NkvCZeTdZs.jpg https://optom-brend.ru/image/data/3003nalichie/HXMBlko2vHk.jpg https://optom-brend.ru/image/data/3003nalichie/m93W3jpjO7I.jpg https://optom-brend.ru/image/data/3003nalichie/nk6v3Jr406s.jpg https://optom-brend.ru/image/data/3003nalichie/QJbseIAUsHY.jpg;"шапка для дев. (принты в ассоритименте), св.розовый;шапка детская (принты в ассоритименте), коралловый/рис.крокодил"
;YY0934 Платье для девочек;;1122.0;15;;https://optom-brend.ru/image/data/transfer/Tovar/1582632092392.jpg;"Платье, подъюбник-сетка, подол-валаны,на груди отделка бисером, бордовый 2 года;Платье, подъюбник-сетка, подол-валаны,на груди отделка бисером, бордовый 10 лет"
;K002 Комбинезон женский;;702.0;15;;https://optom-brend.ru/image/data/transfer/Tovar/1582632088352.jpg;"Комбинезон женский розовый,размер 42-44"
;B031 бриджи женские;;878.0;15;;https://optom-brend.ru/image/data/transfer/Tovar/1582632087332.jpg;"Бриджи женские голубой,размер 26;Бриджи женские голубой,размер 25"
;B002 бриджи женские;;878.0;15;;https://optom-brend.ru/image/data/transfer/Tovar/1582632084292.jpg;"Бриджи женские оранжево-голубой,размер 26;Бриджи женские оранжево-голубой,размер 25"
;B001 бриджи женские;;1014.0;15;;https://optom-brend.ru/image/data/transfer/Tovar/1582632083282.jpg;"Бриджи женские голубой,размер 25"
;803 Джинсы для мальчиков;;534.0;15;;https://optom-brend.ru/image/data/transfer/Tovar/15826230543102.JPG https://optom-brend.ru/image/data/transfer/Tovar/15826239191062.JPG https://optom-brend.ru/image/data/transfer/Tovar/15826239191084.JPG https://optom-brend.ru/image/data/transfer/Tovar/15826239191095.JPG https://optom-brend.ru/image/data/transfer/Tovar/15826239191117.JPG;"Джинсы для мальчика 23 спорт, коричн/т.синии 100"
;600 Бриджи для мальчиков;;534.0;15;;https://optom-brend.ru/image/data/transfer/Tovar/15826230472422.JPG https://optom-brend.ru/image/data/transfer/Tovar/1582623914763.JPG https://optom-brend.ru/image/data/transfer/Tovar/1582623914785.JPG https://optom-brend.ru/image/data/transfer/Tovar/1582623914796.JPG https://optom-brend.ru/image/data/transfer/Tovar/1582623914807.JPG https://optom-brend.ru/image/data/transfer/Tovar/1582623914818.JPG;"Бриджи для мальчика MILLENIU, бежево/черныи 105;Бриджи для мальчика MILLENIU, бежево/зеленыи 100;Бриджи для мальчика MILLENIU, бежево/зеленыи 95;Бриджи для мальчика MILLENIU, бежево/зеленыи 105"
;600 Бриджи для мальчиков;;447.0;15;;https://optom-brend.ru/image/data/transfer/Tovar/15826230472422.JPG https://optom-brend.ru/image/data/transfer/Tovar/1582623914763.JPG https://optom-brend.ru/image/data/transfer/Tovar/1582623914785.JPG https://optom-brend.ru/image/data/transfer/Tovar/1582623914796.JPG https://optom-brend.ru/image/data/transfer/Tovar/1582623914807.JPG https://optom-brend.ru/image/data/transfer/Tovar/1582623914818.JPG;"Спортивные брюки для девочек, ярко-розовый 176;Спортивные брюки для девочек, св.розовый 164;Спортивные брюки для девочек, ярко-розовый 164;Спортивные брюки для девочек, красный 176;Спортивные брюки для девочек, коралл 176;Спортивные брюки для девочек, коралл 152;Спортивные брюки для девочек, св.розовый 152;Спортивные брюки для девочек, св.розовый 176;Спортивные брюки для девочек, красный 152;Спортивные брюки для девочек, красный 140;Спортивные брюки для девочек, коралл 164"
;333 Джинсы для мальчиков;;503.0;15;;https://optom-brend.ru/image/data/transfer/Tovar/15826230301452.JPG;"Джинсы для мальчика (молния на переднем кармане), серыи 7-8"
;331 Джинсы для мальчиков;;503.0;15;;https://optom-brend.ru/image/data/transfer/Tovar/15826230291432.JPG;"Джинсы для мальчика BER, серыи 6-7"
;2794 Джинсы для мальчиков;;471.0;15;;https://optom-brend.ru/image/data/transfer/Tovar/15826230241132.JPG;"Джинсы для мальчика TATI OFF,черныи 1;Джинсы для мальчика TATI OFF,черныи 3"
;2790 Джинсы для мальчиков;;471.0;15;;https://optom-brend.ru/image/data/transfer/Tovar/15826230231102.JPG;"Джинсы для мальчиков, М, т.синии 2;Джинсы для мальчиков, М, т.синии 7"
;1907 Брюки для девочек;;409.0;15;;https://optom-brend.ru/image/data/transfer/Tovar/1582623018912.JPG https://optom-brend.ru/image/data/transfer/Tovar/1582623535336.JPG https://optom-brend.ru/image/data/transfer/Tovar/1582623018923.JPG;"Брюки для девочки, белыи ремешок, синии 1"
;IN-102 Колготки;;22.0;15;;https://optom-brend.ru/image/data/transfer/Tovar/1582182019722.JPG https://optom-brend.ru/image/data/transfer/Tovar/1582182019788.JPG https://optom-brend.ru/image/data/transfer/Tovar/15821820198818.JPG https://optom-brend.ru/image/data/transfer/Tovar/15821820198717.JPG https://optom-brend.ru/image/data/transfer/Tovar/15821820198616.JPG https://optom-brend.ru/image/data/transfer/Tovar/15821820199424.JPG https://optom-brend.ru/image/data/transfer/Tovar/15821820199323.JPG https://optom-brend.ru/image/data/transfer/Tovar/15821820199222.JPG https://optom-brend.ru/image/data/transfer/Tovar/15821820199525.JPG https://optom-brend.ru/image/data/transfer/Tovar/15821820199626.JPG https://optom-brend.ru/image/data/transfer/Tovar/15821820199121.JPG https://optom-brend.ru/image/data/transfer/Tovar/15821820199020.JPG https://optom-brend.ru/image/data/transfer/Tovar/15821820198313.JPG https://optom-brend.ru/image/data/transfer/Tovar/15821820198414.JPG https://optom-brend.ru/image/data/transfer/Tovar/1582182019777.JPG https://optom-brend.ru/image/data/transfer/Tovar/1582182019755.JPG https://optom-brend.ru/image/data/transfer/Tovar/1582182019766.JPG https://optom-brend.ru/image/data/transfer/Tovar/1582182019733.JPG https://optom-brend.ru/image/data/transfer/Tovar/1582182019744.JPG https://optom-brend.ru/image/data/transfer/Tovar/15821820198212.JPG https://optom-brend.ru/image/data/transfer/Tovar/15821820198111.JPG https://optom-brend.ru/image/data/transfer/Tovar/1582182019799.JPG https://optom-brend.ru/image/data/transfer/Tovar/15821820198010.JPG https://optom-brend.ru/image/data/transfer/Tovar/15821820198515.JPG https://optom-brend.ru/image/data/transfer/Tovar/15821820198919.JPG;"Детские колготки из натурального хлопка, голубой 74-80;Детские колготки из натурального хлопка, желтый 74-80"
;1081_OSPLGIT Жилет;;44.0;15;;https://optom-brend.ru/image/data/transfer/Tovar/1081_OSPLGIT.jpg;"Жилет для девочки (вар.2 86-92-52)"
;М-539-04 брюки женские;;207.0;15;;https://optom-brend.ru/image/data/transfer//%D0%9C-539-04.jpg;"брюки женские (42 р-р)вишня"
;М-1v Жилет детский;;122.0;15;;https://optom-brend.ru/image/data/transfer//%D0%9C-1v.jpg;"Жилет дет.М-1v синий р76;Жилет дет.М-1v синий р80"
